index,Dice,IoU,Precision,Recall,aji_plus,pq,detection_f1,segmentation_quality,recognition_quality
6525,0.8810266076995578,0.7873525981599067,0.8347300453358978,0.9327602087810869,0.46496,0.3686856359299789,0.5,0.7373712718599578,0.5
6526,0.8983177355457311,0.8154054617469252,0.8587266739846323,0.9417358853978572,0.4871674223629053,0.341140565272661,0.45,0.7580901450503578,0.45
6527,0.9153547150387817,0.8439207985599738,0.8895711870838652,0.9426774877531623,0.3712570466359177,0.23705728362727854,0.3230769230769231,0.7337487350368145,0.3230769230769231
6528,0.7184484942988013,0.5606083650190115,0.5920334082878252,0.9135068153655515,0.30340517791098076,0.21799940015425343,0.29411764705882354,0.7411979605244616,0.29411764705882354
6529,0.8334649166090989,0.7144790829491138,0.7439658210007047,0.9474422257123626,0.45990317061628627,0.3679070186705241,0.5084745762711864,0.7235504700520308,0.5084745762711864
6530,0.8477968160097157,0.7358049585261903,0.8477744337082211,0.8478191994930827,0.39851301115241633,0.3109914153602164,0.45112781954887216,0.6893643040484797,0.45112781954887216
6531,0.8228901984105531,0.6990768382859505,0.747776958978138,0.9147785323637238,0.5278381541548236,0.4901322781815353,0.6737967914438503,0.72741853984085,0.6737967914438503
6532,0.815043156596794,0.6878251821019771,0.7313969571230982,0.9202923773059519,0.3758248029389735,0.29785727167072684,0.4230769230769231,0.7040262784944453,0.4230769230769231
6533,0.6876494023904383,0.5239829993928354,0.7360341151385927,0.645233644859813,0.3623733719247467,0.25646630633213613,0.4166666666666667,0.6155191351971266,0.4166666666666667
6534,0.8675517487508922,0.766085114965712,0.8277308635249251,0.9113977204559088,0.3477470156905992,0.13217191475354115,0.20512820512820512,0.6443380844235131,0.20512820512820512
6535,0.7774063400576369,0.6358664906656609,0.7778546712802769,0.7769585253456222,0.3622063758389262,0.27342875542521194,0.40860215053763443,0.6691809014353871,0.40860215053763443
6536,0.7441421936655376,0.5925369814258703,0.6765508921201346,0.826738050900062,0.3770028275212064,0.2301809429253569,0.3516483516483517,0.6545770564439837,0.3516483516483517
6537,0.7759603469640645,0.6339339947357765,0.771609882323948,0.7803601470496604,0.3486408914401486,0.2168035266389102,0.3129251700680272,0.6928286612156478,0.3129251700680272
